Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
290; 9,629E0; 2,431E0; 1,246E1; 2,126E0; -1,239E1
291; 9,662E0; 2,483E0; 1,173E1; 1,568E0; -2,177E1
292; 9,696E0; 2,512E0; 1,066E1; 8,697E-1; -3,221E1
293; 9,729E0; 2,519E0; 9,385E0; 1,942E-1; -3,818E1
294; 9,762E0; 2,489E0; 7,982E0; -8,802E-1; -4,211E1
295; 9,796E0; 2,418E0; 6,430E0; -2,148E0; -4,658E1
296; 9,829E0; 2,336E0; 4,916E0; -2,467E0; -4,543E1
297; 9,862E0; 2,254E0; 3,485E0; -2,442E0; -4,297E1
298; 9,895E0; 2,159E0; 2,188E0; -2,844E0; -3,892E1
299; 9,929E0; 2,046E0; 1,163E0; -3,393E0; -3,075E1
300; 9,962E0; 1,917E0; 3,959E-1; -3,874E0; -2,304E1
301; 9,995E0; 1,792E0; -3,596E-2; -3,771E0; -1,296E1
302; 1,003E1; 1,665E0; -1,162E-1; -3,803E0; -2,408E0
303; 1,006E1; 1,537E0; 1,494E-1; -3,851E0; 7,970E0
304; 1,010E1; 1,383E0; 7,558E-1; -4,622E0; 1,820E1
305; 1,013E1; 1,253E0; 1,659E0; -3,883E0; 2,712E1
306; 1,016E1; 1,151E0; 2,824E0; -3,060E0; 3,496E1
307; 1,020E1; 1,077E0; 4,225E0; -2,223E0; 4,204E1
308; 1,023E1; 1,021E0; 5,714E0; -1,695E0; 4,469E1
309; 1,026E1; 9,786E-1; 7,246E0; -1,266E0; 4,599E1
310; 1,030E1; 9,434E-1; 8,752E0; -1,056E0; 4,521E1
311; 1,033E1; 9,227E-1; 1,009E1; -6,223E-1; 4,023E1
312; 1,036E1; 9,216E-1; 1,126E1; -3,171E-2; 3,490E1
313; 1,040E1; 9,268E-1; 1,218E1; 1,559E-1; 2,775E1
314; 1,043E1; 9,448E-1; 1,276E1; 5,383E-1; 1,737E1
315; 1,046E1; 9,828E-1; 1,297E1; 1,142E0; 6,416E0
316; 1,050E1; 1,053E0; 1,283E1; 2,111E0; -4,294E0
317; 1,053E1; 1,133E0; 1,231E1; 2,391E0; -1,566E1
318; 1,056E1; 1,235E0; 1,148E1; 3,077E0; -2,494E1
319; 1,060E1; 1,344E0; 1,033E1; 3,274E0; -3,449E1
320; 1,063E1; 1,445E0; 8,990E0; 3,033E0; -4,016E1
321; 1,066E1; 1,540E0; 7,528E0; 2,843E0; -4,386E1
322; 1,070E1; 1,634E0; 5,988E0; 2,819E0; -4,622E1
323; 1,073E1; 1,740E0; 4,494E0; 3,182E0; -4,484E1
324; 1,076E1; 1,856E0; 3,096E0; 3,477E0; -4,196E1
325; 1,080E1; 1,954E0; 1,850E0; 2,932E0; -3,740E1
326; 1,083E1; 2,028E0; 8,997E-1; 2,239E0; -2,852E1
327; 1,086E1; 2,120E0; 2,411E-1; 2,764E0; -1,977E1
328; 1,090E1; 2,205E0; -8,499E-2; 2,551E0; -9,788E0
329; 1,093E1; 2,260E0; -5,638E-2; 1,648E0; 8,587E-1
330; 1,096E1; 2,260E0; -5,638E-2; 0,000E0; 0,000E0
331; 1,099E1; 2,284E0; 3,182E-1; 7,096E-1; 1,124E1
332; 1,103E1; 2,291E0; 1,037E0; 1,996E-1; 2,158E1
333; 1,106E1; 2,279E0; 2,036E0; -3,524E-1; 2,996E1
334; 1,109E1; 2,266E0; 3,260E0; -3,804E-1; 3,674E1
335; 1,113E1; 2,243E0; 4,715E0; -6,916E-1; 4,366E1
