Frame; Zeit (in s); Objekt 1 x-Koordinate; Objekt 1 y-Koordinate; Objekt 1 x-Geschwindigkeit; Objekt 1 y-Geschwindigkeit
409; 1,359E1; ; ; ;
410; 1,363E1; ; ; ;
411; 1,366E1; ; ; ;
412; 1,369E1; ; ; ;
413; 1,373E1; ; ; ;
414; 1,376E1; ; ; ;
415; 1,379E1; ; ; ;
416; 1,383E1; ; ; ;
417; 1,386E1; ; ; ;
418; 1,389E1; ; ; ;
419; 1,393E1; ; ; ;
420; 1,396E1; ; ; ;
421; 1,399E1; ; ; ;
422; 1,403E1; ; ; ;
423; 1,406E1; ; ; ;
424; 1,409E1; ; ; ;
425; 1,413E1; ; ; ;
426; 1,416E1; ; ; ;
427; 1,419E1; ; ; ;
428; 1,423E1; ; ; ;
429; 1,426E1; ; ; ;
430; 1,429E1; ; ; ;
431; 1,433E1; ; ; ;
432; 1,436E1; ; ; ;
433; 1,439E1; ; ; ;
434; 1,443E1; ; ; ;
435; 1,446E1; ; ; ;
436; 1,449E1; ; ; ;
437; 1,453E1; ; ; ;
438; 1,456E1; ; ; ;
439; 1,459E1; ; ; ;
440; 1,463E1; ; ; ;
441; 1,466E1; ; ; ;
442; 1,469E1; ; ; ;
443; 1,473E1; ; ; ;
444; 1,476E1; ; ; ;
445; 1,479E1; ; ; ;
446; 1,483E1; ; ; ;
447; 1,486E1; ; ; ;
448; 1,489E1; ; ; ;
449; 1,493E1; ; ; ;
450; 1,496E1; ; ; ;
451; 1,499E1; ; ; ;
452; 1,503E1; ; ; ;
453; 1,506E1; ; ; ;
454; 1,509E1; ; ; ;
455; 1,513E1; ; ; ;
456; 1,516E1; ; ; ;
457; 1,519E1; ; ; ;
458; 1,523E1; ; ; ;
459; 1,526E1; ; ; ;
460; 1,529E1; ; ; ;
461; 1,533E1; ; ; ;
462; 1,536E1; ; ; ;
463; 1,539E1; ; ; ;
464; 1,543E1; ; ; ;
465; 1,546E1; ; ; ;
466; 1,549E1; ; ; ;
467; 1,553E1; ; ; ;
468; 1,556E1; ; ; ;
469; 1,559E1; ; ; ;
470; 1,563E1; ; ; ;
471; 1,566E1; ; ; ;
472; 1,569E1; ; ; ;
473; 1,573E1; ; ; ;
474; 1,576E1; ; ; ;
475; 1,579E1; ; ; ;
476; 1,583E1; ; ; ;
477; 1,586E1; ; ; ;
478; 1,589E1; ; ; ;
479; 1,593E1; ; ; ;
480; 1,596E1; ; ; ;
481; 1,599E1; ; ; ;
482; 1,603E1; ; ; ;
483; 1,606E1; ; ; ;
484; 1,609E1; ; ; ;
485; 1,613E1; ; ; ;
486; 1,616E1; ; ; ;
487; 1,619E1; ; ; ;
488; 1,623E1; ; ; ;
489; 1,626E1; ; ; ;
490; 1,629E1; ; ; ;
491; 1,633E1; ; ; ;
492; 1,636E1; ; ; ;
493; 1,639E1; ; ; ;
494; 1,643E1; ; ; ;
495; 1,646E1; ; ; ;
496; 1,649E1; ; ; ;
497; 1,653E1; ; ; ;
498; 1,656E1; ; ; ;
499; 1,659E1; ; ; ;
500; 1,663E1; ; ; ;
501; 1,666E1; ; ; ;
502; 1,669E1; ; ; ;
503; 1,673E1; ; ; ;
504; 1,676E1; ; ; ;
505; 1,679E1; ; ; ;
506; 1,683E1; ; ; ;
507; 1,686E1; ; ; ;
508; 1,689E1; ; ; ;
509; 1,693E1; ; ; ;
510; 1,696E1; ; ; ;
511; 1,699E1; ; ; ;
512; 1,703E1; ; ; ;
513; 1,706E1; ; ; ;
514; 1,709E1; ; ; ;
515; 1,713E1; ; ; ;
516; 1,716E1; ; ; ;
517; 1,719E1; ; ; ;
518; 1,723E1; ; ; ;
519; 1,726E1; ; ; ;
520; 1,729E1; ; ; ;
521; 1,733E1; ; ; ;
522; 1,736E1; ; ; ;
523; 1,739E1; ; ; ;
524; 1,743E1; ; ; ;
525; 1,746E1; ; ; ;
526; 1,749E1; ; ; ;
527; 1,753E1; ; ; ;
528; 1,756E1; ; ; ;
529; 1,759E1; 1,382E0; -5,200E0; 0,000E0; 0,000E0
530; 1,763E1; 1,427E0; -3,517E0; 1,339E0; 5,052E1
531; 1,766E1; 1,414E0; -1,910E0; -3,998E-1; 4,824E1
532; 1,769E1; 1,420E0; -3,026E-1; 1,913E-1; 4,823E1
533; 1,773E1; 1,450E0; 1,226E0; 8,977E-1; 4,588E1
534; 1,776E1; 1,433E0; 2,578E0; -5,063E-1; 4,058E1
535; 1,779E1; 1,449E0; 3,786E0; 4,834E-1; 3,626E1
536; 1,783E1; 1,470E0; 4,866E0; 6,234E-1; 3,241E1
537; 1,786E1; 1,446E0; 5,700E0; -7,114E-1; 2,501E1
538; 1,789E1; 1,433E0; 6,344E0; -3,845E-1; 1,934E1
539; 1,793E1; 1,439E0; 6,765E0; 1,695E-1; 1,263E1
540; 1,796E1; 1,434E0; 6,884E0; -1,618E-1; 3,579E0
541; 1,799E1; 1,420E0; 6,814E0; -4,226E-1; -2,094E0
542; 1,803E1; 1,416E0; 6,516E0; -9,517E-2; -8,934E0
543; 1,806E1; 1,377E0; 5,931E0; -1,177E0; -1,758E1
544; 1,809E1; 1,359E0; 5,163E0; -5,531E-1; -2,303E1
545; 1,812E1; 1,359E0; 5,163E0; 0,000E0; 0,000E0
546; 1,816E1; 1,369E0; 4,223E0; 2,975E-1; -2,822E1
547; 1,819E1; 1,343E0; 2,998E0; -7,640E-1; -3,678E1
548; 1,822E1; 1,302E0; 1,691E0; -1,228E0; -3,923E1
549; 1,826E1; 1,296E0; 2,777E-1; -1,811E-1; -4,241E1
550; 1,829E1; 1,255E0; -1,311E0; -1,244E0; -4,770E1
551; 1,832E1; 1,240E0; -2,936E0; -4,567E-1; -4,877E1
552; 1,836E1; 1,235E0; -4,536E0; -1,253E-1; -4,802E1
553; 1,839E1; 1,210E0; -6,216E0; -7,523E-1; -5,041E1
554; 1,842E1; 1,178E0; -7,787E0; -9,637E-1; -4,716E1
555; 1,846E1; 1,156E0; -9,247E0; -6,591E-1; -4,382E1
556; 1,849E1; 1,148E0; -1,064E1; -2,513E-1; -4,182E1
557; 1,852E1; 1,124E0; -1,187E1; -7,132E-1; -3,697E1
558; 1,856E1; 1,111E0; -1,286E1; -3,978E-1; -2,959E1
559; 1,859E1; 1,074E0; -1,370E1; -1,117E0; -2,518E1
560; 1,862E1; 1,072E0; -1,433E1; -5,331E-2; -1,899E1
561; 1,866E1; 1,044E0; -1,466E1; -8,419E-1; -9,819E0
562; 1,869E1; 1,019E0; -1,477E1; -7,555E-1; -3,467E0
563; 1,872E1; 9,949E-1; -1,466E1; -7,151E-1; 3,305E0
564; 1,876E1; 9,928E-1; -1,421E1; -6,082E-2; 1,355E1
565; 1,879E1; 9,684E-1; -1,357E1; -7,322E-1; 1,932E1
566; 1,882E1; 9,458E-1; -1,275E1; -6,787E-1; 2,455E1
567; 1,886E1; 9,416E-1; -1,162E1; -1,268E-1; 3,382E1
568; 1,889E1; 9,298E-1; -1,039E1; -3,545E-1; 3,708E1
569; 1,892E1; 9,193E-1; -9,035E0; -3,143E-1; 4,058E1
570; 1,896E1; 9,401E-1; -7,481E0; 6,225E-1; 4,665E1
571; 1,899E1; 9,363E-1; -5,889E0; -1,125E-1; 4,777E1
572; 1,902E1; 9,387E-1; -4,267E0; 7,246E-2; 4,869E1
573; 1,906E1; 9,578E-1; -2,615E0; 5,736E-1; 4,958E1
574; 1,909E1; 9,839E-1; -9,995E-1; 7,825E-1; 4,848E1
575; 1,912E1; 9,764E-1; 4,919E-1; -2,247E-1; 4,476E1
576; 1,916E1; 1,006E0; 1,989E0; 8,953E-1; 4,493E1
577; 1,919E1; 1,029E0; 3,290E0; 6,957E-1; 3,903E1
578; 1,922E1; 1,045E0; 4,379E0; 4,527E-1; 3,270E1
579; 1,926E1; 1,103E0; 5,349E0; 1,769E0; 2,910E1
580; 1,929E1; 1,136E0; 6,108E0; 9,689E-1; 2,279E1
581; 1,932E1; 1,139E0; 6,561E0; 8,787E-2; 1,359E1
582; 1,936E1; 1,196E0; 6,891E0; 1,717E0; 9,918E0
583; 1,939E1; 1,232E0; 6,905E0; 1,076E0; 4,147E-1
584; 1,942E1; 1,235E0; 6,669E0; 1,055E-1; -7,091E0
585; 1,946E1; 1,305E0; 6,245E0; 2,099E0; -1,272E1
586; 1,949E1; 1,328E0; 5,565E0; 6,829E-1; -2,040E1
587; 1,952E1; 1,343E0; 4,649E0; 4,495E-1; -2,750E1
588; 1,956E1; 1,388E0; 3,600E0; 1,362E0; -3,148E1
